state,submission_date,submission_date,tot_cases,conf_cases,prob_cases,new_case,pnew_case,tot_death,conf_death,prob_death,new_death,pnew_death
AK,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AK,1,2021,1547357,0.0,0.0,6991,0.0,9301,0.0,0.0,27,0.0
AK,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AK,2,2021,1529870,0.0,0.0,3569,0.0,8788,0.0,0.0,15,0.0
AK,3,2020,793,0.0,0.0,128,0.0,36,0.0,0.0,6,0.0
AK,3,2021,1810250,0.0,0.0,4207,0.0,10287,0.0,0.0,17,0.0
AK,4,2020,8290,0.0,0.0,227,0.0,251,0.0,0.0,3,0.0
AK,4,2021,1894334,0.0,0.0,4871,0.0,10223,0.0,0.0,1,0.0
AK,5,2020,12268,0.0,0.0,108,0.0,331,0.0,0.0,4,0.0
AK,5,2021,2067016,0.0,0.0,2072,0.0,10929,0.0,0.0,21,0.0
AK,6,2020,20522,0.0,0.0,481,0.0,464,0.0,0.0,4,0.0
AK,6,2021,2038239,0.0,0.0,898,0.0,10951,0.0,0.0,8,0.0
AK,7,2020,55739,0.0,0.0,2049,0.0,777,0.0,0.0,16,0.0
AK,7,2021,1733590,0.0,0.0,2372,0.0,9323,0.0,0.0,7,0.0
AK,8,2020,131204,0.0,0.0,2297,0.0,1410,0.0,0.0,19,0.0
AK,9,2020,195280,0.0,0.0,2601,0.0,1815,0.0,0.0,17,0.0
AK,10,2020,340005,0.0,0.0,7507,0.0,2780,0.0,0.0,47,0.0
AK,11,2020,697820,0.0,0.0,16395,0.0,4711,0.0,0.0,89,0.0
AK,12,2020,1255548,0.0,0.0,13978,0.0,7898,0.0,0.0,76,0.0
AL,1,2020,378,316.0,62.0,44,8.0,0,0.0,0.0,0,0.0
AL,1,2021,13829242,10848138.0,2981104.0,93140,26417.0,261442,211361.0,50081.0,2378,645.0
AL,2,2020,1951,1624.0,327.0,56,8.0,3,0.0,3.0,1,1.0
AL,2,2021,14091363,10933868.0,3157495.0,30094,8800.0,283483,226352.0,57131.0,964,199.0
AL,3,2020,32680,30619.0,2061.0,3143,158.0,244,193.0,51.0,48,2.0
AL,3,2021,16186975,12517994.0,3668981.0,13386,3947.0,332531,265241.0,67290.0,381,89.0
AL,4,2020,196379,186451.0,9928.0,6786,282.0,6211,5877.0,334.0,336,16.0
AL,4,2021,16024465,12369557.0,3654908.0,11871,3467.0,330090,263314.0,66776.0,210,38.0
AL,5,2020,482919,463579.0,19340.0,12037,351.0,19709,18601.0,1108.0,480,37.0
AL,5,2021,16883533,13011330.0,3872203.0,8003,2407.0,347584,277193.0,70391.0,201,37.0
AL,6,2020,997136,960462.0,36674.0,25540,1063.0,33118,30820.0,2298.0,477,45.0
AL,6,2021,16510182,12708386.0,3801796.0,5057,1672.0,340962,271856.0,69106.0,117,29.0
AL,7,2020,2396318,2236528.0,159790.0,56967,7087.0,54766,50317.0,4449.0,959,105.0
AL,7,2021,13989355,10746047.0,3243308.0,19099,5895.0,286109,228150.0,57959.0,65,6.0
AL,8,2020,3845030,3444260.0,400770.0,36567,8688.0,89922,80088.0,9834.0,1057,206.0
AL,9,2020,4674118,4034282.0,639836.0,26999,6303.0,111347,97227.0,14120.0,615,112.0
AL,10,2020,5732078,4880093.0,851985.0,34840,7535.0,132784,114386.0,18398.0,595,128.0
AL,11,2020,6992996,5836677.0,1156319.0,65369,15581.0,148375,126268.0,22107.0,802,190.0
AL,12,2020,10201402,8244314.0,1957088.0,123069,33838.0,192332,160062.0,32270.0,1795,435.0
AR,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AR,1,2021,8247143,0.0,0.0,70130,21246.0,132923,0.0,0.0,1192,365.0
AR,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AR,2,2021,8718837,0.0,0.0,27147,8785.0,146201,0.0,0.0,375,39.0
AR,3,2020,3952,0.0,0.0,560,0.0,36,0.0,0.0,8,0.0
AR,3,2021,10140927,0.0,0.0,7983,2656.0,169225,0.0,0.0,383,150.0
AR,4,2020,53117,0.0,0.0,2695,0.0,1008,0.0,0.0,53,0.0
AR,4,2021,9990537,0.0,0.0,5327,1772.0,170566,0.0,0.0,113,38.0
AR,5,2020,150233,0.0,0.0,3998,0.0,3139,0.0,0.0,72,0.0
AR,5,2021,10502727,0.0,0.0,5656,1871.0,179528,0.0,0.0,94,25.0
AR,6,2020,402154,0.0,0.0,13524,0.0,5897,0.0,0.0,137,0.0
AR,6,2021,10343376,0.0,0.0,8004,2950.0,176052,0.0,0.0,76,9.0
AR,7,2020,972436,0.0,0.0,21734,0.0,10829,0.0,0.0,183,0.0
AR,7,2021,9003907,0.0,0.0,25965,8041.0,149313,0.0,0.0,145,23.0
AR,8,2020,1633930,0.0,0.0,18713,0.0,19077,0.0,0.0,344,0.0
AR,9,2020,2173136,0.0,0.0,22473,3087.0,32388,0.0,0.0,572,146.0
AR,10,2020,3025302,0.0,0.0,28493,5621.0,51330,0.0,0.0,556,21.0
AR,11,2020,4031073,0.0,0.0,45169,10595.0,66765,0.0,0.0,577,40.0
AR,12,2020,5960217,0.0,0.0,67779,19051.0,95239,0.0,0.0,1174,381.0
AS,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,1,2021,93,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,2,2021,100,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
AS,3,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,3,2021,100,0.0,0.0,-4,0.0,0,0.0,0.0,0,0.0
AS,4,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,4,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,5,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,5,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,6,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,6,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,7,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,7,2021,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,8,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,9,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,10,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AS,11,2020,66,0.0,0.0,3,0.0,0,0.0,0.0,0,0.0
AS,12,2020,93,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AZ,1,2020,6,0.0,0.0,1,0.0,0,0.0,0.0,0,0.0
AZ,1,2021,20405824,19249370.0,1156454.0,238290,23041.0,342158,306907.0,35251.0,4256,560.0
AZ,2,2020,29,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
AZ,2,2021,22264556,20788874.0,1475682.0,58558,6983.0,415253,367719.0,47534.0,2860,463.0
AZ,3,2020,6806,0.0,0.0,1288,0.0,114,0.0,0.0,24,0.0
AZ,3,2021,25816901,24029759.0,1787142.0,25029,4330.0,513713,454042.0,59671.0,987,59.0
AZ,4,2020,128654,73837.0,0.0,6359,0.0,4749,3013.0,0.0,296,0.0
AZ,4,2021,25572822,23731463.0,1841359.0,20061,3705.0,514118,456296.0,57822.0,357,-8.0
AZ,5,2020,417109,417109.0,0.0,12288,0.0,19859,19859.0,0.0,586,0.0
AZ,5,2021,27055010,25050361.0,2004649.0,18953,3093.0,541764,481594.0,60170.0,304,12.0
AZ,6,2020,1290602,1283589.0,8785.0,59300,434.0,37298,35242.0,2056.0,726,103.0
AZ,6,2021,26637732,24618935.0,2018797.0,13425,2302.0,533733,475200.0,58533.0,308,19.0
AZ,7,2020,4104152,4094479.0,9673.0,94826,-434.0,79627,77682.0,1945.0,2062,-103.0
AZ,7,2021,22603338,20858678.0,1744660.0,22293,2975.0,451474,402131.0,49343.0,235,15.0
AZ,8,2020,5952259,5913203.0,39056.0,27856,1731.0,137942,131407.0,6535.0,1335,267.0
AZ,9,2020,6322562,6232886.0,89676.0,16702,2842.0,161365,153159.0,8206.0,621,1.0
AZ,10,2020,7145132,6986217.0,158915.0,27495,1243.0,179972,171061.0,8911.0,329,47.0
AZ,11,2020,8441708,8210209.0,231324.0,80961,4261.0,189499,176345.0,13154.0,660,172.0
AZ,12,2020,13276874,12743163.0,533711.0,193483,15013.0,237324,217466.0,19858.0,2225,371.0
CA,1,2020,13,0.0,0.0,3,0.0,0,0.0,0.0,0,0.0
CA,1,2021,95732423,92399137.0,3333286.0,948913,46115.0,1315458,0.0,0.0,18858,0.0
CA,2,2020,17188,16897.0,288.0,389,21.0,4177,0.0,0.0,2,0.0
CA,2,2021,100175406,96461710.0,3713696.0,195116,11961.0,1562618,0.0,0.0,8025,0.0
CA,3,2020,198630,197804.0,826.0,16435,14.0,5921,0.0,0.0,205,0.0
CA,3,2021,114524547,110155961.0,4368586.0,82385,6596.0,1878117,0.0,0.0,2611,0.0
CA,4,2020,1167097,1165680.0,1417.0,44792,28.0,37935,0.0,0.0,1979,0.0
CA,4,2021,113037103,108631859.0,4405244.0,66510,5295.0,1863779,0.0,0.0,969,0.0
CA,5,2020,2963017,2959180.0,3837.0,70730,113.0,111416,0.0,0.0,2384,0.0
CA,5,2021,118456970,113770093.0,4686877.0,39852,3303.0,1949930,0.0,0.0,660,0.0
CA,6,2020,5918746,5911012.0,7734.0,156851,235.0,174377,0.0,0.0,2162,0.0
CA,6,2021,115591468,110979934.0,4611534.0,31863,2260.0,1901714,0.0,0.0,320,0.0
CA,7,2020,13815237,13777868.0,37369.0,289052,1712.0,268659,0.0,0.0,3791,0.0
CA,7,2021,97629257,78601624.0,3268353.0,71870,947.0,1590884,0.0,0.0,213,0.0
CA,8,2020,20736111,20636458.0,99653.0,159154,2205.0,397828,0.0,0.0,3939,0.0
CA,9,2020,23699444,23539640.0,159804.0,99678,1950.0,475831,0.0,0.0,2247,0.0
CA,10,2020,27786520,27543192.0,243328.0,121089,3448.0,547416,0.0,0.0,1500,0.0
CA,11,2020,33465533,32995728.0,469805.0,374665,14894.0,579921,0.0,0.0,2354,0.0
CA,12,2020,58996663,57437691.0,1558972.0,1172005,54688.0,783069,0.0,0.0,11374,0.0
CO,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CO,1,2021,11473991,10947040.0,526951.0,59324,5258.0,164441,143211.0,21230.0,780,66.0
CO,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CO,2,2021,11572798,10963994.0,608804.0,34882,4242.0,162737,142550.0,20187.0,357,22.0
CO,3,2020,18490,0.0,0.0,2966,0.0,326,0.0,0.0,69,0.0
CO,3,2021,13810796,12999724.0,811072.0,33778,4988.0,187196,164524.0,22672.0,156,-6.0
CO,4,2020,263074,142146.0,14759.0,12216,2186.0,11703,6887.0,904.0,708,135.0
CO,4,2021,14590982,13667776.0,923206.0,48885,4677.0,185687,163512.0,22175.0,188,25.0
CO,5,2020,660572,597736.0,62836.0,11196,884.0,35596,28919.0,6677.0,668,180.0
CO,5,2021,16433069,15344803.0,1088266.0,32208,3178.0,199610,175828.0,23782.0,285,24.0
CO,6,2020,886867,807040.0,79827.0,6337,442.0,48035,38240.0,9795.0,245,30.0
CO,6,2021,16545115,15407316.0,1137799.0,14257,2702.0,200897,177293.0,23604.0,214,17.0
CO,7,2020,1213694,1119221.0,94473.0,14094,312.0,54225,43911.0,10314.0,148,5.0
CO,7,2021,14094944,13095056.0,999888.0,8462,1679.0,171439,151560.0,19879.0,116,-1.0
CO,8,2020,1637236,1528289.0,108947.0,10615,662.0,58648,47994.0,10654.0,107,8.0
CO,9,2020,1896484,1765076.0,131408.0,13112,1113.0,60020,49466.0,10554.0,106,9.0
CO,10,2020,2637084,2455842.0,181242.0,36814,2172.0,66956,55310.0,11646.0,234,35.0
CO,11,2020,5020974,4763620.0,257354.0,125555,3072.0,78492,65587.0,12905.0,752,84.0
CO,12,2020,9086576,8709299.0,377277.0,101192,3874.0,125307,107337.0,17970.0,1777,170.0
CT,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CT,1,2021,6900960,6491581.0,409379.0,64315,4180.0,204066,165754.0,38312.0,1051,164.0
CT,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
CT,2,2021,7518722,7048223.0,470499.0,29923,3685.0,207285,169776.0,37509.0,576,63.0
CT,3,2020,14589,0.0,0.0,3128,0.0,282,0.0,0.0,69,0.0
CT,3,2021,9132906,8482310.0,650596.0,30942,4759.0,241425,198436.0,42989.0,264,41.0
CT,4,2020,466797,290335.0,9803.0,24572,1560.0,29684,18548.0,3563.0,2188,759.0
CT,4,2021,9813751,9030599.0,783152.0,28345,4310.0,239715,197118.0,42597.0,211,29.0
CT,5,2020,1124218,1073241.0,50977.0,14501,452.0,101073,80945.0,20128.0,1687,298.0
CT,5,2021,10686190,9791538.0,894652.0,8273,1353.0,253536,208663.0,44873.0,141,23.0
CT,6,2020,1348657,1289259.0,59398.0,4313,-32.0,125398,99891.0,25507.0,378,9.0
CT,6,2021,10455874,9569058.0,886816.0,1846,384.0,247888,203759.0,44129.0,40,11.0
CT,7,2020,1483675,1422298.0,61377.0,3296,-24.0,135762,108602.0,27160.0,110,12.0
CT,7,2021,8762205,8012906.0,749299.0,2685,635.0,207023,170280.0,36743.0,8,-3.0
CT,8,2020,1585462,1522739.0,62723.0,3069,170.0,138000,110594.0,27406.0,33,4.0
CT,9,2020,1651324,1583280.0,68044.0,4671,295.0,134566,107831.0,26735.0,43,13.0
CT,10,2020,1961272,1879555.0,81717.0,13657,1267.0,141104,113160.0,27944.0,108,10.0
CT,11,2020,2784189,2601596.0,182593.0,46088,4116.0,143362,115206.0,28156.0,404,87.0
CT,12,2020,4793649,4503811.0,289838.0,68413,3225.0,170624,137803.0,32821.0,975,146.0
DC,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DC,1,2021,1030286,0.0,0.0,7889,0.0,26230,0.0,0.0,127,0.0
DC,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DC,2,2021,1088237,0.0,0.0,3726,0.0,27279,0.0,0.0,104,0.0
DC,3,2020,3342,0.0,0.0,495,0.0,50,0.0,0.0,9,0.0
DC,3,2021,1321799,0.0,0.0,3915,0.0,32315,0.0,0.0,47,0.0
DC,4,2020,70950,0.0,0.0,3828,0.0,2651,0.0,0.0,215,0.0
DC,4,2021,1388929,0.0,0.0,3184,0.0,32644,0.0,0.0,41,0.0
DC,5,2020,215106,0.0,0.0,4478,0.0,11296,0.0,0.0,242,0.0
DC,5,2021,1502384,0.0,0.0,1234,0.0,34700,0.0,0.0,27,0.0
DC,6,2020,291828,0.0,0.0,1526,0.0,15437,0.0,0.0,85,0.0
DC,6,2021,1475989,0.0,0.0,382,0.0,34159,0.0,0.0,9,0.0
DC,7,2020,345436,0.0,0.0,1799,0.0,17731,0.0,0.0,34,0.0
DC,7,2021,1240311,0.0,0.0,618,0.0,28600,0.0,0.0,5,0.0
DC,8,2020,407849,0.0,0.0,1866,0.0,18495,0.0,0.0,22,0.0
DC,9,2020,441301,0.0,0.0,1334,0.0,18516,0.0,0.0,20,0.0
DC,10,2020,503721,0.0,0.0,1940,0.0,19785,0.0,0.0,19,0.0
DC,11,2020,575263,0.0,0.0,4286,0.0,19873,0.0,0.0,34,0.0
DC,12,2020,790037,0.0,0.0,7431,0.0,22570,0.0,0.0,106,0.0
DE,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DE,1,2021,2190216,2093104.0,97112.0,20976,1424.0,31184,27923.0,3261.0,160,6.0
DE,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
DE,2,2021,2368915,2249033.0,119882.0,8888,826.0,35950,32488.0,3462.0,332,28.0
DE,3,2020,2403,2394.0,9.0,414,2.0,32,0.0,0.0,10,0.0
DE,3,2021,2856306,2699369.0,156937.0,7193,970.0,46638,42392.0,4246.0,137,3.0
DE,4,2020,73665,72402.0,1263.0,4632,142.0,1895,1192.0,83.0,142,9.0
DE,4,2021,3030181,2838193.0,191988.0,9353,1411.0,47762,43561.0,4201.0,66,2.0
DE,5,2020,241926,223217.0,18709.0,4705,742.0,8515,8139.0,376.0,217,24.0
DE,5,2021,3333658,3107190.0,226468.0,3619,454.0,51051,46658.0,4393.0,36,1.0
DE,6,2020,319765,292506.0,27259.0,1977,38.0,13197,12162.0,1035.0,140,34.0
DE,6,2021,3281611,3054791.0,226820.0,868,136.0,50458,46149.0,4309.0,25,3.0
DE,7,2020,424884,395898.0,28986.0,3598,22.0,16577,14694.0,1883.0,76,12.0
DE,7,2021,2754760,2562756.0,192004.0,1053,171.0,42399,38762.0,3637.0,4,1.0
DE,8,2020,512570,482878.0,29692.0,2439,25.0,18450,16279.0,2171.0,20,2.0
DE,9,2020,579655,549748.0,29907.0,3141,89.0,18588,16370.0,2218.0,31,5.0
DE,10,2020,715544,681711.0,33833.0,4380,99.0,20649,18140.0,2509.0,74,10.0
DE,11,2020,899715,862009.0,37706.0,11232,222.0,22146,19460.0,2686.0,67,7.0
DE,12,2020,1502206,1444857.0,57349.0,22329,1006.0,26077,23041.0,3036.0,153,8.0
FL,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FL,1,2021,47021856,0.0,0.0,389172,118726.0,743830,0.0,0.0,4806,429.0
FL,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FL,2,2021,50178683,0.0,0.0,184454,55156.0,808632,0.0,0.0,4373,342.0
FL,3,2020,33927,0.0,0.0,6490,0.0,489,0.0,0.0,85,0.0
FL,3,2021,60418506,0.0,0.0,145346,39348.0,1002736,0.0,0.0,2573,170.0
FL,4,2020,653686,0.0,0.0,27200,0.0,19525,0.0,0.0,1183,0.0
FL,4,2021,63303673,0.0,0.0,172195,51420.0,1029258,0.0,0.0,1736,134.0
FL,5,2020,1388707,0.0,0.0,21074,0.0,59729,0.0,0.0,1183,0.0
FL,5,2021,69607724,0.0,0.0,90155,24496.0,1118776,0.0,0.0,1613,95.0
FL,6,2020,2579840,0.0,0.0,95017,0.0,89635,0.0,0.0,1054,0.0
FL,6,2021,69243584,0.0,0.0,50066,12345.0,1122853,0.0,0.0,1139,81.0
FL,7,2020,9620892,0.0,0.0,315249,3390.0,149207,0.0,0.0,3338,20.0
FL,7,2021,59872791,0.0,0.0,148059,38309.0,957336,0.0,0.0,757,68.0
FL,8,2020,17282051,0.0,0.0,151599,5130.0,287915,0.0,0.0,4344,47.0
FL,9,2020,19875958,0.0,0.0,81422,8402.0,385746,0.0,0.0,3130,85.0
FL,10,2020,22987074,0.0,0.0,93946,17637.0,486915,0.0,0.0,2444,88.0
FL,11,2020,26462866,0.0,0.0,191373,47996.0,528479,0.0,0.0,1836,88.0
FL,12,2020,35351736,0.0,0.0,317158,94358.0,625279,0.0,0.0,3076,231.0
FSM,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,1,2021,24,24.0,0.0,1,0.0,0,0.0,0.0,0,0.0
FSM,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,2,2021,28,28.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,3,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,3,2021,31,31.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,4,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,4,2021,30,30.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,5,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,5,2021,31,31.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,6,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,6,2021,30,30.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,7,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,7,2021,128,128.0,0.0,2,0.0,0,0.0,0.0,0,0.0
FSM,8,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,9,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,10,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,11,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
FSM,12,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GA,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GA,1,2021,24831227,20730515.0,4100712.0,242993,59802.0,381989,341763.0,40226.0,3264,566.0
GA,2,2020,2,2.0,0.0,2,0.0,0,0.0,0.0,0,0.0
GA,2,2021,26992282,22102767.0,4889515.0,97076,28427.0,446576,392070.0,54506.0,3097,599.0
GA,3,2020,25247,25228.0,17.0,4234,2.0,721,0.0,0.0,130,0.0
GA,3,2021,32140432,25957402.0,6183030.0,53027,19148.0,567643,494526.0,73117.0,1760,221.0
GA,4,2020,453117,452895.0,222.0,21005,9.0,18096,10065.0,0.0,981,0.0
GA,4,2021,32411603,25992676.0,6418927.0,40639,13180.0,589445,513463.0,75982.0,1135,183.0
GA,5,2020,1097391,1096778.0,613.0,20371,18.0,49332,49332.0,0.0,941,0.0
GA,5,2021,34551307,27577243.0,6974064.0,23654,7427.0,636022,552299.0,83723.0,647,138.0
GA,6,2020,1808377,1789607.0,18770.0,36065,1526.0,74287,74287.0,0.0,753,0.0
GA,6,2021,33882611,26997805.0,6884806.0,10732,3390.0,635569,549554.0,86015.0,586,158.0
GA,7,2020,4172180,4061975.0,110205.0,109057,4732.0,98285,98285.0,0.0,947,0.0
GA,7,2021,28606686,22739764.0,5866922.0,23132,8640.0,538031,464672.0,73359.0,191,24.0
GA,8,2020,7476634,7196792.0,279842.0,90035,5949.0,145264,145264.0,0.0,1881,0.0
GA,9,2020,9349629,8873507.0,476122.0,54948,6986.0,192732,192732.0,0.0,1388,0.0
GA,10,2020,11196121,10448853.0,747268.0,53276,9868.0,233793,233793.0,0.0,958,0.0
GA,11,2020,12860645,11689214.0,1171431.0,82570,20340.0,264163,253008.0,11155.0,1473,674.0
GA,12,2020,17500247,15239358.0,2260889.0,194889,50346.0,316961,288934.0,28027.0,1482,388.0
GU,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GU,1,2021,231663,0.0,0.0,300,28.0,3897,0.0,0.0,8,0.0
GU,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
GU,2,2021,215322,0.0,0.0,126,2.0,3634,0.0,0.0,1,0.0
GU,3,2020,528,0.0,0.0,71,0.0,11,0.0,0.0,2,0.0
GU,3,2021,241007,0.0,0.0,76,1.0,4135,0.0,0.0,4,0.0
GU,4,2020,3828,0.0,0.0,75,7.0,138,0.0,0.0,3,0.0
GU,4,2021,236252,0.0,0.0,165,8.0,4080,0.0,0.0,2,0.0
GU,5,2020,4905,0.0,0.0,29,4.0,155,0.0,0.0,0,0.0
GU,5,2021,250828,0.0,0.0,198,20.0,4300,0.0,0.0,3,0.0
GU,6,2020,6153,0.0,0.0,92,0.0,150,0.0,0.0,0,0.0
GU,6,2021,248057,0.0,0.0,193,27.0,4174,0.0,0.0,1,0.0
GU,7,2020,9929,0.0,0.0,89,0.0,155,0.0,0.0,0,0.0
GU,7,2021,211326,0.0,0.0,140,4.0,3540,0.0,0.0,3,0.0
GU,8,2020,21799,0.0,0.0,1091,0.0,195,0.0,0.0,8,0.0
GU,9,2020,59465,0.0,0.0,1041,-6.0,844,0.0,0.0,36,0.0
GU,10,2020,111151,0.0,0.0,2140,47.0,1980,0.0,0.0,30,0.0
GU,11,2020,176315,0.0,0.0,2261,83.0,2861,0.0,0.0,33,0.0
GU,12,2020,221512,0.0,0.0,419,47.0,3644,0.0,0.0,9,0.0
HI,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
HI,1,2021,733219,0.0,0.0,4176,73.0,10172,0.0,0.0,121,0.0
HI,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
HI,2,2021,748291,0.0,0.0,1687,95.0,11820,0.0,0.0,29,0.0
HI,3,2020,1894,0.0,0.0,283,0.0,1,0.0,0.0,1,0.0
HI,3,2021,882743,0.0,0.0,2306,293.0,13891,0.0,0.0,24,0.0
HI,4,2020,15502,0.0,0.0,324,0.0,276,0.0,0.0,15,0.0
HI,4,2021,941443,0.0,0.0,2915,349.0,14099,0.0,0.0,20,0.0
HI,5,2020,19461,0.0,0.0,37,0.0,525,0.0,0.0,1,0.0
HI,5,2021,1056206,0.0,0.0,2341,224.0,15135,0.0,0.0,17,0.0
HI,6,2020,22549,0.0,0.0,264,0.0,513,0.0,0.0,1,0.0
HI,6,2021,1073385,0.0,0.0,1356,80.0,15163,0.0,0.0,17,0.0
HI,7,2020,42502,0.0,0.0,1264,0.0,692,0.0,0.0,8,0.0
HI,7,2021,933530,0.0,0.0,2609,145.0,12965,0.0,0.0,12,0.0
HI,8,2020,163203,0.0,0.0,6450,0.0,1283,0.0,0.0,44,0.0
HI,9,2020,327753,0.0,0.0,3858,0.0,3170,0.0,0.0,66,0.0
HI,10,2020,428237,0.0,0.0,2515,0.0,5694,0.0,0.0,82,0.0
HI,11,2020,492982,0.0,0.0,2713,0.0,6751,0.0,0.0,24,0.0
HI,12,2020,599908,0.0,0.0,3318,0.0,8405,0.0,0.0,44,0.0
IA,1,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
IA,1,2021,9382085,0.0,0.0,38578,10195.0,133129,0.0,0.0,1010,1010.0
IA,2,2020,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0
IA,2,2021,9208698,0.0,0.0,17082,4602.0,146602,0.0,0.0,570,570.0
IA,3,2020,2788,0.0,0.0,497,0.0,25,0.0,0.0,7,0.0
